Comment,Designator,Footprint,LCSC
0.1uF,"C10,C11,C13,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C7,C8,C9",C_0402_1005Metric,C1525
6pF,"C1,C2",C_0402_1005Metric,C1575
100uF,C32,CP_EIA-3528-15_AVX-H,C16133
4.7uF,C16,C_0603_1608Metric,C19666
24MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C1985381
LED_Small,"D2,D3",LED_0603_1608Metric,C2286
10k,R1,R_0402_1005Metric,C25744
3.3K,"R10,R9",R_0402_1005Metric,C25890
Conn_02x07_Odd_Even,J1,PinHeader_2x07_P1.27mm_Vertical_SMD,C2881912
STM32G473RCTx,U33,LQFP-64_10x10mm_P0.5mm,C529361
LSM6DSR,"U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U4,U5,U6,U7,U8,U9",LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C784817
ME6119A33PG,U34,SOT-89-3,C82566
