Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,6pF,C_0402_1005Metric,9.017,-41.783,-90.0,top
C10,0.1uF,C_0402_1005Metric,18.542,-25.908,-45.0,top
C11,0.1uF,C_0402_1005Metric,6.858,-25.908,45.0,top
C13,0.1uF,C_0402_1005Metric,18.542,-37.592,45.0,top
C14,0.1uF,C_0402_1005Metric,16.764,-1.778,0.0,top
C15,0.1uF,C_0402_1005Metric,18.796,-10.922,180.0,top
C16,4.7uF,C_0603_1608Metric,15.7988,-48.8696,270.0,bottom
C17,0.1uF,C_0402_1005Metric,18.5192,-47.3964,180.0,bottom
C18,0.1uF,C_0402_1005Metric,18.796,-1.778,180.0,top
C19,0.1uF,C_0402_1005Metric,16.764,-10.922,0.0,top
C2,6pF,C_0402_1005Metric,13.335,-41.783,90.0,top
C20,0.1uF,C_0402_1005Metric,16.764,-11.938,0.0,top
C21,0.1uF,C_0402_1005Metric,18.796,-22.225,180.0,top
C22,0.1uF,C_0402_1005Metric,18.796,-11.938,180.0,top
C23,0.1uF,C_0402_1005Metric,18.796,-21.082,180.0,top
C24,0.1uF,C_0402_1005Metric,6.604,-11.938,0.0,top
C25,0.1uF,C_0402_1005Metric,9.0932,-22.2504,180.0,top
C26,0.1uF,C_0402_1005Metric,8.636,-11.938,180.0,top
C27,0.1uF,C_0402_1005Metric,8.664,-21.082,180.0,top
C28,0.1uF,C_0402_1005Metric,6.604,-1.778,0.0,top
C29,0.1uF,C_0402_1005Metric,6.604,-10.922,0.0,top
C30,0.1uF,C_0402_1005Metric,8.636,-1.778,180.0,top
C31,0.1uF,C_0402_1005Metric,8.636,-10.922,180.0,top
C32,100uF,CP_EIA-3528-15_AVX-H,19.5072,-49.8856,180.0,bottom
C33,0.1uF,C_0402_1005Metric,16.764,-1.778,180.0,bottom
C34,0.1uF,C_0402_1005Metric,16.764,-10.922,180.0,bottom
C35,0.1uF,C_0402_1005Metric,18.796,-1.778,0.0,bottom
C36,0.1uF,C_0402_1005Metric,18.796,-10.922,0.0,bottom
C37,0.1uF,C_0402_1005Metric,18.796,-21.082,0.0,bottom
C38,0.1uF,C_0402_1005Metric,18.796,-11.938,0.0,bottom
C39,0.1uF,C_0402_1005Metric,16.764,-21.082,180.0,bottom
C40,0.1uF,C_0402_1005Metric,16.764,-11.938,180.0,bottom
C41,0.1uF,C_0402_1005Metric,6.604,-1.778,180.0,bottom
C42,0.1uF,C_0402_1005Metric,6.604,-10.922,180.0,bottom
C43,0.1uF,C_0402_1005Metric,8.636,-10.922,0.0,bottom
C44,0.1uF,C_0402_1005Metric,8.636,-1.778,0.0,bottom
C45,0.1uF,C_0402_1005Metric,8.664,-21.082,0.0,bottom
C46,0.1uF,C_0402_1005Metric,8.636,-11.938,0.0,bottom
C47,0.1uF,C_0402_1005Metric,6.604,-21.082,180.0,bottom
C48,0.1uF,C_0402_1005Metric,6.604,-11.938,180.0,bottom
C7,0.1uF,C_0402_1005Metric,9.144,-35.052,270.0,bottom
C8,0.1uF,C_0402_1005Metric,16.6624,-30.198,90.0,bottom
C9,0.1uF,C_0402_1005Metric,6.858,-37.592,-45.0,top
D2,LED_Small,LED_0603_1608Metric,24.13,-45.212,90.0,top
D3,LED_Small,LED_0603_1608Metric,22.225,-45.212,90.0,top
J1,Conn_02x07_Odd_Even,PinHeader_2x07_P1.27mm_Vertical_SMD,7.874,-47.416,180.0,top
R1,10k,R_0402_1005Metric,5.7404,-33.9852,180.0,bottom
R10,3.3K,R_0402_1005Metric,22.225,-42.926,90.0,bottom
R9,3.3K,R_0402_1005Metric,24.13,-42.926,270.0,bottom
U1,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-4.572,180.0,top
U10,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-18.288,270.0,top
U11,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-18.288,0.0,top
U12,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-14.732,90.0,top
U13,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-4.572,180.0,top
U14,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-8.128,270.0,top
U15,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-8.128,0.0,top
U16,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-4.572,90.0,top
U17,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-4.572,180.0,bottom
U18,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-4.572,90.0,bottom
U19,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-8.128,0.0,bottom
U2,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-4.572,90.0,top
U20,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-8.128,270.0,bottom
U21,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-14.732,180.0,bottom
U22,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-14.732,90.0,bottom
U23,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-18.277,0.0,bottom
U24,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-18.288,270.0,bottom
U25,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-14.732,180.0,bottom
U26,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-14.732,90.0,bottom
U27,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-18.288,0.0,bottom
U28,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-18.288,270.0,bottom
U29,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-4.572,180.0,bottom
U3,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-8.128,0.0,top
U30,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-4.572,90.0,bottom
U31,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-8.128,0.0,bottom
U32,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,9.398,-8.128,270.0,bottom
U33,STM32G473RCTx,LQFP-64_10x10mm_P0.5mm,12.7,-31.75,0.0,top
U34,ME6119A33PG,SOT-89-3,17.9324,-44.196,270.0,bottom
U4,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-8.128,270.0,top
U5,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-14.732,180.0,top
U6,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,16.002,-18.288,270.0,top
U7,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-18.288,0.0,top
U8,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,19.558,-14.732,90.0,top
U9,LSM6DSR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,5.842,-14.732,180.0,top
Y1,24MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,11.176,-41.148,0.0,top
